Province_State,Last_Update,Confirmed,Deaths,Recovered,Active
Virgin Islands,,51,1,43,50
Alabama,2020-07-29 04:35:24,82366,1491,32510,48365.0
Alabama,2020-08-09 04:35:07,100173,1755,37923,60495.0
Alabama,2020-06-10 04:07:14,21422,729,11395,9298.0
Alabama,2020-07-22 04:34:54,70358,1303,29736,39319.0
Alabama,2020-07-28 04:59:02,81115,1491,32510,47114.0
Alabama,2020-06-03 02:33:21,18766,653,9355,8758.0
Alabama,2020-08-07 04:35:29,96592,1714,37923,56955.0
Alabama,2020-05-29 02:32:58,16530,591,9355,6584.0
Alabama,2020-08-04 04:42:12,92661,1633,35401,55627.0
Alabama,2020-04-12 23:18:15,3563,93,,3470
Alabama,2020-05-24 02:32:48,14117,549,7951,5617.0
Alabama,2020-06-16 04:33:22,26272,774,13508,11990.0
Alabama,2020-06-25 05:27:08,32064,891,18866,12307.0
Alabama,2020-05-07 02:32:32,8691,343,,8348.0
Alabama,2020-08-10 04:35:08,101334,1768,37923,61643.0
Alabama,2020-08-05 04:34:56,93702,1666,35401,56635.0
Alabama,2020-08-02 04:35:05,89349,1603,35401,52345.0
Alabama,2020-04-28 02:32:46,6539,228,,6311.0
Alabama,2020-04-30 02:32:31,6912,256,,6656.0
Alabama,2020-06-06 02:33:09,19387,676,11395,7316.0
Alabama,2020-07-23 05:15:18,71813,1364,29736,40713.0
Alabama,2020-06-14 03:33:28,24601,773,13508,10320.0
Alabama,2020-07-02 04:33:59,38962,972,18866,19124.0
Alabama,2020-07-19 04:35:12,65234,1286,29736,34212.0
Alabama,2020-07-10 04:34:42,49174,1068,25783,22323.0
Alabama,2020-07-12 04:34:43,51947,1114,25783,25050.0
Alabama,2020-07-01 04:34:05,38045,950,18866,18229.0
Alabama,2020-04-21 23:40:34,5317,183,,5134.0
Alabama,2020-07-06 04:34:10,43953,1007,22082,20864.0
Alabama,2020-08-03 04:34:47,91444,1627,35401,54416.0
Alabama,2020-08-11 04:35:27,103020,1797,37923,63300.0
Alabama,2020-07-15 04:34:53,57255,1164,25783,30308.0
Alabama,2020-06-11 03:33:54,21989,744,13508,7737.0
Alabama,2020-06-24 04:33:41,31097,864,15974,14259.0
